player,team,current_team
Precious Achiuwa,MIA,MIA
Jaylen Adams,MIL,MIL
Steven Adams,NOP,NOP
Bam Adebayo,MIA,MIA
LaMarcus Aldridge,SAS,SAS
Ty-Shon Alexander,PHX,PHX
Nickeil Alexander-Walker,NOP,NOP
Grayson Allen,MEM,MEM
Jarrett Allen,CLE,CLE
Al-Farouq Aminu,ORL,ORL
Kyle Anderson,MEM,MEM
Giannis Antetokounmpo,MIL,MIL
Kostas Antetokounmpo,LAL,LAL
Thanasis Antetokounmpo,MIL,MIL
Carmelo Anthony,POR,POR
Cole Anthony,ORL,ORL
OG Anunoby,TOR,TOR
Ryan Arcidiacono,CHI,CHI
D.J. Augustin,MIL,MIL
Deni Avdija,WAS,WAS
Deandre Ayton,PHX,PHX
Udoka Azubuike,UTA,UTA
Dwayne Bacon,ORL,ORL
Marvin Bagley III,SAC,SAC
LaMelo Ball,CHA,CHA
Lonzo Ball,NOP,NOP
Mo Bamba,ORL,ORL
Desmond Bane,MEM,MEM
Harrison Barnes,SAC,SAC
RJ Barrett,NYK,NYK
Will Barton,DEN,DEN
Keita Bates-Diop,SAS,SAS
Nicolas Batum,LAC,LAC
Aron Baynes,TOR,TOR
Kent Bazemore,GSW,GSW
Darius Bazley,OKC,OKC
Bradley Beal,WAS,WAS
Malik Beasley,MIN,MIN
Jordan Bell,WAS,NA
DeAndre' Bembry,TOR,TOR
Dāvis Bertāns,WAS,NA
Patrick Beverley,LAC,LAC
Saddiq Bey,DET,DET
Tyler Bey,DAL,DAL
Khem Birch,ORL,ORL
Goga Bitadze,IND,IND
Bismack Biyombo,CHA,CHA
Nemanja Bjelica,SAC,SAC
Eric Bledsoe,NOP,NOP
Keljin Blevins,POR,POR
Bogdan Bogdanović,ATL,NA
Bojan Bogdanović,UTA,NA
Bol Bol,DEN,DEN
Marques Bolden,CLE,NA
Jordan Bone,ORL,NA
Isaac Bonga,WAS,WAS
Devin Booker,PHX,PHX
Chris Boucher,TOR,TOR
Brian Bowen,IND,NA
Avery Bradley,MIA,MIA
Tony Bradley,PHI,PHI
Jarrell Brantley,UTA,UTA
Ignas Brazdeikis,NYK,NYK
Mikal Bridges,PHX,PHX
Miles Bridges,CHA,CHA
Malcolm Brogdon,IND,IND
Dillon Brooks,MEM,MEM
Bruce Brown,BKN,BKN
Jaylen Brown,BOS,BOS
Moses Brown,OKC,OKC
Sterling Brown,HOU,HOU
Troy Brown Jr.,WAS,WAS
Jalen Brunson,DAL,DAL
Thomas Bryant,WAS,WAS
Reggie Bullock,NYK,NYK
Trey Burke,DAL,DAL
Alec Burks,NYK,NYK
Jimmy Butler,MIA,MIA
Bruno Caboclo,HOU,NA
Devontae Cacok,LAL,LAL
Kentavious Caldwell-Pope,LAL,LAL
Facundo Campazzo,DEN,DEN
Vlatko Čančar,DEN,NA
Clint Capela,ATL,ATL
Vernon Carey Jr.,CHA,CHA
Jevon Carter,PHX,PHX
Wendell Carter Jr.,CHI,CHI
Michael Carter-Williams,ORL,ORL
Alex Caruso,LAL,LAL
Willie Cauley-Stein,DAL,DAL
Chris Chiozza,BKN,BKN
Marquese Chriss,GSW,GSW
Gary Clark,ORL,ORL
Brandon Clarke,MEM,MEM
Jordan Clarkson,UTA,UTA
Nicolas Claxton,BKN,BKN
Amir Coffey,LAC,LAC
John Collins,ATL,ATL
Mike Conley,UTA,UTA
Pat Connaughton,MIL,MIL
Quinn Cook,LAL,NA
Tyler Cook,BKN,BKN
DeMarcus Cousins,HOU,NA
Robert Covington,POR,POR
Torrey Craig,MIL,MIL
Jae Crowder,PHX,PHX
Jarrett Culver,MIN,MIN
Seth Curry,PHI,PHI
Stephen Curry,GSW,GSW
Anthony Davis,LAL,LAL
Ed Davis,MIN,MIN
Terence Davis,TOR,TOR
DeMar DeRozan,SAS,SAS
Hamidou Diallo,OKC,OKC
Gorgui Dieng,MEM,MEM
Spencer Dinwiddie,BKN,BKN
Donte DiVincenzo,MIL,MIL
Luka Dončić,DAL,NA
Luguentz Dort,OKC,OKC
Damyean Dotson,CLE,CLE
Devon Dotson,CHI,CHI
Sekou Doumbouya,DET,DET
PJ Dozier,DEN,DEN
Goran Dragić,MIA,NA
Andre Drummond,CLE,CLE
Jared Dudley,LAL,LAL
Kevin Durant,BKN,BKN
Anthony Edwards,MIN,MIN
Carsen Edwards,BOS,BOS
CJ Elleby,POR,POR
Wayne Ellington,DET,DET
Joel Embiid,PHI,PHI
James Ennis,ORL,NA
Drew Eubanks,SAS,SAS
Dante Exum,HOU,HOU
Tacko Fall,BOS,BOS
Derrick Favors,UTA,UTA
Cristiano Felício,CHI,NA
Terrance Ferguson,PHI,PHI
Bruno Fernando,ATL,ATL
Yogi Ferrell,CLE,NA
Dorian Finney-Smith,DAL,DAL
Malachi Flynn,TOR,TOR
Bryn Forbes,MIL,MIL
Trent Forrest,UTA,UTA
Evan Fournier,ORL,ORL
De'Aaron Fox,SAC,SAC
Tim Frazier,MEM,NA
Markelle Fultz,ORL,ORL
Wenyen Gabriel,NOP,NOP
Daniel Gafford,CHI,CHI
Danilo Gallinari,ATL,ATL
Langston Galloway,PHX,PHX
Darius Garland,CLE,CLE
Marc Gasol,LAL,LAL
Rudy Gay,SAS,SAS
Paul George,LAC,LAC
Taj Gibson,NYK,NYK
Harry Giles,POR,NA
Shai Gilgeous-Alexander,OKC,OKC
Anthony Gill,WAS,WAS
Rudy Gobert,UTA,UTA
Brandon Goodwin,ATL,ATL
Aaron Gordon,ORL,ORL
Eric Gordon,HOU,HOU
Devonte' Graham,CHA,CHA
Jerami Grant,DET,DET
Danny Green,PHI,PHI
Draymond Green,GSW,GSW
JaMychal Green,DEN,DEN
Javonte Green,BOS,BOS
Jeff Green,BKN,BKN
Josh Green,DAL,DAL
Blake Griffin,DET,DET
Kyle Guy,SAC,SAC
Rui Hachimura,WAS,WAS
Ashton Hagans,MIN,NA
Tyrese Haliburton,SAC,SAC
Josh Hall,OKC,OKC
R.J. Hampton,DEN,DEN
Tim Hardaway Jr.,DAL,DAL
James Harden,BKN,BKN
Maurice Harkless,MIA,MIA
Jared Harper,NYK,NYK
Montrezl Harrell,LAL,LAL
Gary Harris,DEN,DEN
Jalen Harris,TOR,TOR
Joe Harris,BKN,BKN
Tobias Harris,PHI,PHI
Shaquille Harrison,UTA,NA
Josh Hart,NOP,NOP
Isaiah Hartenstein,DEN,DEN
Jaxson Hayes,NOP,NOP
Killian Hayes,DET,DET
Gordon Hayward,CHA,CHA
Juan Hernangómez,MIN,NA
Willy Hernangómez,NOP,NA
Tyler Herro,MIA,MIA
Buddy Hield,SAC,SAC
George Hill,OKC,OKC
Solomon Hill,ATL,ATL
Nate Hinton,DAL,DAL
Aaron Holiday,IND,IND
Jrue Holiday,MIL,MIL
Justin Holiday,IND,IND
Richaun Holmes,SAC,SAC
Rodney Hood,POR,POR
Al Horford,OKC,OKC
Talen Horton-Tucker,LAL,LAL
Danuel House,HOU,NA
Dwight Howard,PHI,PHI
Markus Howard,DEN,DEN
Kevin Huerter,ATL,ATL
Elijah Hughes,UTA,UTA
De'Andre Hunter,ATL,ATL
Chandler Hutchison,CHI,CHI
Serge Ibaka,LAC,LAC
Andre Iguodala,MIA,MIA
Joe Ingles,UTA,UTA
Brandon Ingram,NOP,NOP
Kyrie Irving,BKN,BKN
Wesley Iwundu,DAL,NA
Frank Jackson,DET,DET
Josh Jackson,DET,DET
Justin Jackson,OKC,OKC
Reggie Jackson,LAC,LAC
Justin James,SAC,SAC
LeBron James,LAL,LAL
DaQuan Jeffries,SAC,SAC
Ty Jerome,OKC,OKC
Isaiah Joe,PHI,PHI
Cameron Johnson,PHX,PHX
James Johnson,DAL,DAL
Keldon Johnson,SAS,SAS
Stanley Johnson,TOR,TOR
Tyler Johnson,BKN,BKN
Nikola Jokić,DEN,NA
Damian Jones,LAL,LAL
Derrick Jones Jr.,POR,POR
Mason Jones,HOU,HOU
Tre Jones,SAS,SAS
Tyus Jones,MEM,MEM
